price_rule_key,source_channel,source_product_name,source_options,normalized_source,total_unit_price,item_type,main_product,set_name,component_count,allocated_total,allocation_variance,source_row,review_status,is_active
68f48eeb54fe8d82160e830ce75def65e22e07200821b95b155f3e2c72123ef2,리큐엠_스마트스토어,커스텀파우치,??여행 필수템: 커스텀파우치 베이지,커스텀파우치여행필수템커스텀파우치베이지,12900,세트,커스텀파우치,벨크로타이 1M 무료증정 (추가상품),2,12900,0,155,confirmed,true
9cf2e2c726972590d725e0a79cf27b12d0824dcdf8a62a157ee0bd6de2e59b03,리큐엠_스마트스토어,커스텀파우치,??여행 필수템: 커스텀파우치 옐로우,커스텀파우치여행필수템커스텀파우치옐로우,12900,세트,커스텀파우치,벨크로타이 1M 무료증정 (추가상품),2,12900,0,157,confirmed,true
b0351c876bc2ccfbdc5f115779e0b78a9c37128d371bf7609dc172e6ed54d29f,리큐엠_스마트스토어,QMS01,QMS01,qms01qms01,55900,세트,QMS01,QMS01 플레이트 세트,2,55900,0,159,confirmed,true
30bb0c58bea7a7cd0f9bba6c737116e55ca5ed672d139274db6b901aa18e6443,리큐엠_스마트스토어,QMS01,QMS01,qms01qms01,55400,세트,QMS01,QMS01 플레이트 세트 (찜쿠폰),2,55400,0,161,confirmed,true
f457de081feabd01093487ca8af2c7adc75b1e4d01c1262ab683960e72657fb7,리큐엠_스마트스토어,QMS01,맥세이프 악세서리 (할인가): 맥세이프 셀카봉,qms01맥세이프악세서리할인가맥세이프셀카봉,49900,세트,QMS01,QMS01 플레이트 세트 (추가상품),2,49900,0,163,confirmed,true
0b4669a268fa026d612658ec762715e26290319907a23a7805d8aad599dfc3f7,리큐엠_스마트스토어,차량용 CW500,고속 충전기 무료증정: CPD520 블랙 증정,차량용cw500고속충전기무료증정cpd520블랙증정,32400,세트,CW500,CW500 CPD520 블랙 증정,2,32400,0,165,confirmed,true
6c58bd2db28d110dd044e3f5e62fab18662359cb9008fca7524e1091fc133111,리큐엠_스마트스토어,차량용 CW500,고속 충전기 무료증정: CPD520 블랙 증정,차량용cw500고속충전기무료증정cpd520블랙증정,31900,세트,CW500,CW500 CPD520 블랙 증정 (찜쿠폰),2,31900,0,167,confirmed,true
72f386ca1cea8fd353a93d979ec2c4d88a6029e51195994087bad4372a5ecc15,리큐엠_스마트스토어,QP5000A,세트선택: 캠핑 짝꿍 세트 / 색상: 샌드베이지,qp5000a세트선택캠핑짝꿍세트색상샌드베이지,70500,세트,커스텀파우치,QP5000A 샌드베이지 캠핑짝꿍세트,2,70500,0,169,confirmed,true
6951af2ba15d4734934760dbffec2b383d102046457b36ca02fdfd1afe048943,리큐엠_스마트스토어,QP5000A,세트선택: 캠핑 짝꿍 세트 / 색상: 샌드베이지,qp5000a세트선택캠핑짝꿍세트색상샌드베이지,70000,세트,커스텀파우치,QP5000A 샌드베이지 캠핑짝꿍세트 찜쿠폰,2,70000,0,171,confirmed,true
18ed0ab75e90b53bc922001fc1facb9b5830b89a2ef072f6372e88df25233a2c,리큐엠_스마트스토어,QP5000A,세트선택: 캠핑 짝꿍 세트 / 색상: 올리브그린,qp5000a세트선택캠핑짝꿍세트색상올리브그린,70500,세트,커스텀파우치,QP5000A 올리브그린 캠핑짝꿍세트,2,70500,0,173,confirmed,true
